job_name, mean_salary, max_salary, min_salary, first_grad, second_grad, third_grad, fourth_grad, fiveth_grad, first_department, second_department, third_department, fourth_department, fiveth_department, first_school, second_school, third_school, fourth_school, fiveth_school, first_skill, second_skill, third_skill, fourth_skill, fiveth_skill, number_of_entries 
Elektrik Mühendisi, 4.610, 2.170, 7.040,Elektrik/Elektronik Mühendisliði, Elektrik Mühendisliði, Elektrik (MYO), Elektrik Öðretmenliði, Endüstriyel Elektronik (MYO), Elektrik & Elektronik, Yapý, Enerji, Hizmet, Üretim / Endüstriyel Ürünler, Yýldýz Teknik Üniversitesi (YTÜ), Kocaeli Üniversitesi, Ýstanbul Teknik Üniversitesi (ÝTÜ), Sakarya Üniversitesi, Ýstanbul Üniversitesi (ÝÜ), AutoCAD,C++,Dialux,Elektrik Kumanda Panolarý,Elektrik Motorlarý,465,
Elektrik Öðretmeni, 3.590, 3.000, 4.470,Elektrik Öðretmenliði, Elektrik (MYO), Elektrik/Elektronik Mühendisliði, Teknik Eðitim, Elektronik Haberleþme (MYO), Eðitim, Elektrik & Elektronik, Enerji, Denizcilik, Maden ve Metal Sanayi, Gazi Üniversitesi, Marmara Üniversitesi, Kocaeli Üniversitesi, Fýrat Üniversitesi, Afyon Kocatepe Üniversitesi, AutoCAD,CATIA,Devre Tasarýmý,Elektrik Kumanda Panolarý,Elektrik Motorlarý,12,
Elektrik Proje Mühendisi, 4.380, 2.020, 7.270,Elektrik/Elektronik Mühendisliði, Elektrik Mühendisliði, Elektrik (MYO), Elektronik Mühendisliði, Elektrik Öðretmenliði, Elektrik & Elektronik, Enerji, Yapý, Hizmet, Üretim / Endüstriyel Ürünler, Yýldýz Teknik Üniversitesi (YTÜ), Kocaeli Üniversitesi, Sakarya Üniversitesi, Ýstanbul Teknik Üniversitesi (ÝTÜ), Ýstanbul Üniversitesi (ÝÜ), AutoCAD,Dialux,Elektrik Kumanda Panolarý,Elektrik Motorlarý,Elektrik/Elektronik,22,
Elektrik Þantiye Þefi, 5.450, 2.510, 8.390,Elektrik/Elektronik Mühendisliði, Elektrik Mühendisliði, Elektrik (MYO), Elektrik Öðretmenliði, Elektrik-Elektronik Teknikerliði (MYO), Elektrik & Elektronik, Yapý, Enerji, Hizmet, Üretim / Endüstriyel Ürünler, Yýldýz Teknik Üniversitesi (YTÜ), Kocaeli Üniversitesi, Fýrat Üniversitesi, Karadeniz Teknik Üniversitesi (KTÜ), Sakarya Üniversitesi, AutoCAD,C++,Elektrik Kumanda Panolarý,Elektrik Motorlarý,Elektrik/Elektronik,87,
Elektrik Teknikeri, 3.340, 2.120, 4.560,Elektrik (MYO), Elektrik-Elektronik Teknikerliði (MYO), Elektrik Enerjisi Üretim - Ýletim ve Daðýtýmý (MYO), Endüstriyel Elektronik (MYO), Elektronik Teknolojisi, Elektrik & Elektronik, Enerji, Yapý, Maden ve Metal Sanayi, Üretim / Endüstriyel Ürünler, Selçuk Üniversitesi, Karadeniz Teknik Üniversitesi (KTÜ), Trakya Üniversitesi, Çukurova Üniversitesi, Anadolu Üniversitesi, AutoCAD,CCTV,Elektrik Kumanda Panolarý,Elektrik Motorlarý,Elektrik Tesisatý,480,
Elektrik Teknisyeni, 3.280, 2.100, 4.460,Elektrik (MYO), Elektrik Enerjisi Üretim - Ýletim ve Daðýtýmý (MYO), Elektrik-Elektronik Teknikerliði (MYO), Elektronik Teknolojisi, Ýþletme, Elektrik & Elektronik, Enerji, Yapý, Turizm, Üretim / Endüstriyel Ürünler, Anadolu Üniversitesi, Kocaeli Üniversitesi, Ýstanbul Üniversitesi (ÝÜ), Ege Üniversitesi, Trakya Üniversitesi, AutoCAD,Elektrik,Elektrik Bakým,ELEKTRÝK BAKIM ONARIM,Elektrik Kumanda Panolarý,397,
Elektrik Yüksek Mühendisi, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,
Elektronik Mühendisi, 4.480, 2.180, 6.790,Elektronik Mühendisliði, Elektrik/Elektronik Mühendisliði, Elektronik ve Haberleþme Müh., Endüstriyel Elektronik (MYO), Elektronik Haberleþme (MYO), Elektrik & Elektronik, Üretim / Endüstriyel Ürünler, Telekomünikasyon, Biliþim, Hizmet, Uludað Üniversitesi, Ýstanbul Teknik Üniversitesi (ÝTÜ), Gebze Teknik Üniversitesi, Erciyes Üniversitesi, Ankara Üniversitesi, Altium Desinger,ARDUINO,AutoCAD,C,C Programming Language,64,
Elektronik Tasarým Mühendisi, 5.200, 3.000, 8.000,Elektrik/Elektronik Mühendisliði, Elektronik Mühendisliði, Elektronik ve Haberleþme Müh., Endüstriyel Elektronik (MYO), Mekatronik Mühendisliði, Elektrik & Elektronik, Üretim / Endüstriyel Ürünler, Otomotiv, Hizmet, Biliþim, Orta Doðu Teknik Üniversitesi (ODTÜ), Ýstanbul Teknik Üniversitesi (ÝTÜ), Hacettepe Üniversitesi, Ýhsan Doðramacý Bilkent Üniversitesi, Uludað Üniversitesi, Altium Desinger,AutoCAD,C,C#,C++,22,
Elektronik Teknikeri, 3.070, 2.020, 4.180,Elektronik Teknolojisi, Endüstriyel Elektronik (MYO), Elektronik Haberleþme (MYO), Elektrik-Elektronik Teknikerliði (MYO), Endüstriyel Otomasyon (MYO), Elektrik & Elektronik, Biliþim, Üretim / Endüstriyel Ürünler, Telekomünikasyon, Güvenlik, Süleyman Demirel Üniversitesi, Kocaeli Üniversitesi, Gazi Üniversitesi, Kýrýkkale Üniversitesi, Ýstanbul Üniversitesi (ÝÜ), AutoCAD,Elektrik Kumanda Panolarý,Elektrik Motorlarý,Elektrik/Elektronik,Elektronik,101,
Elektronik Teknisyeni, 2.830, 2.020, 3.840,Elektronik Teknolojisi, Endüstriyel Elektronik (MYO), Elektronik Haberleþme (MYO), Ýþletme, Elektrik-Elektronik Teknikerliði (MYO), Elektrik & Elektronik, Biliþim, Üretim / Endüstriyel Ürünler, Telekomünikasyon, Güvenlik, Anadolu Üniversitesi, Kýrýkkale Üniversitesi, Gazi Üniversitesi, Marmara Üniversitesi, Ýstanbul Üniversitesi (ÝÜ), AutoCAD,Elektrik Kumanda Panolarý,Elektrik/Elektronik,Elektronik,Elektronik Devre Dizayný,69,
Elektronik ve Haberleþme Mühendisi, 4.060, 2.500, 5.920,Elektronik ve Haberleþme Müh., Elektronik Mühendisliði, Elektronik Haberleþme (MYO), Elektrik/Elektronik Mühendisliði, Endüstriyel Elektronik (MYO), Telekomünikasyon, Elektrik & Elektronik, Biliþim, Üretim / Endüstriyel Ürünler, Hizmet, Süleyman Demirel Üniversitesi, Kocaeli Üniversitesi, Yýldýz Teknik Üniversitesi (YTÜ), Namýk Kemal Üniversitesi, Ýstanbul Teknik Üniversitesi (ÝTÜ), ARDUINO,AutoCAD,C,C Programming Language,C#,14,
Elektronik Yüksek Mühendisi, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,
Elektronörofizyoloji Teknikeri, 2.560, 2.200, 3.000,Elektronörofizyoloji (MYO), Biyoloji, Ýlahiyat (MYO), Ýnsan Kaynaklarý (MYO), Turizm ve Otel Ýþletmeciliði (MYO), Saðlýk, Hizmet, Ticaret, Gýda, Tekstil, Üsküdar Üniversitesi , Ýstanbul Medipol Üniversitesi , Ýstanbul Bilgi Üniversitesi, Ýstanbul Aydýn Üniversitesi, Biruni Üniversitesi, Müzik,Yüzme,Bilgisayar,Microsoft Office Word,Resim,22,
Embriyolog, 7.000, 2.680, 11.320,Biyoloji, Moleküler Biyoloji ve Genetik, Týbbi Laboratuvar (MYO), Týp, Biyokimya, -, -, -, -, -, Ýstanbul Üniversitesi (ÝÜ), Ege Üniversitesi, Eskiþehir Osmangazi Üniversitesi, Gazi Üniversitesi, Hacettepe Üniversitesi, Kalite Yönetim Sistemleri,Mikrobiyoloji,Molecular Biology,-, -, 22,
Emlak Danýþmaný, 3.240, 2.320, 4.630,Ýþletme, Emlak ve Emlak Yönetimi (MYO), Ýktisat, Kamu Yönetimi, Dýþ Ticaret (MYO), Hizmet, Yapý, Danýþmanlýk, Turizm, Eðitim, Anadolu Üniversitesi, Kocaeli Üniversitesi, Ýstanbul Üniversitesi (ÝÜ), Sakarya Üniversitesi, Dumlupýnar Üniversitesi, AutoCAD,Genel Muhasebe,Muhasebe,Satýþ Yönetimi,-, 18,
Endeks Okuma Görevlisi, 2.590, 2.250, 2.990,Elektrik (MYO), Ýþletme, Endüstriyel Elektronik (MYO), Elektrik Enerjisi Üretim - Ýletim ve Daðýtýmý (MYO), Bilgisayar Teknolojisi ve Programlama (MYO), Elektrik & Elektronik, Enerji, Hizmet, Biliþim, Telekomünikasyon, Anadolu Üniversitesi, Harran Üniversitesi, Balýkesir Üniversitesi, Selçuk Üniversitesi, Manisa Celal Bayar Üniversitesi, AutoCAD,Elektrik,Elektrik Kumanda Panolarý,Elektrik Tesisatý,Elektrik/Elektronik,15,
Endokrinoloji Uzmaný, 16.250, 12.000, 21.500,-, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 6,
Endoskopi Hemþiresi, 3.050, 2.200, 3.930,Hemþirelik ve Saðlýk Hizmetleri, Hemþirelik (MYO), Hemþirelik, Ýlk ve Acil (Paramedik), Saðlýk Kurumlarý Ýþletmeciliði, Saðlýk, Hizmet, Sigortacýlýk, Atýk Yönetimi ve Geri Dönüþüm, Topluluklar, Anadolu Üniversitesi, Marmara Üniversitesi, Ýstanbul Üniversitesi (ÝÜ), Atatürk Üniversitesi, Çanakkale 18 Mart Üniversitesi, Voleybol,Microsoft Office,Spor,Futbol,Çalýþkan,17,
Endüstri Mühendisi, 3.860, 2.020, 5.900,Endüstri Mühendisliði, Endüstri ve Sistem Mühendisliði, Makine Mühendisliði, Elektronik Teknolojisi, Endüstri Sistemleri Mühendisliði, Otomotiv, Üretim / Endüstriyel Ürünler, Tekstil, Maden ve Metal Sanayi, Yapý, Sakarya Üniversitesi, Eskiþehir Osmangazi Üniversitesi, Gazi Üniversitesi, Kocaeli Üniversitesi, Erciyes Üniversitesi, 5S,AutoCAD,C#,ERP,Ýþ ve süreç analizi,299,
Endüstriyel Otomasyon Teknikeri, 3.220, 2.400, 4.180,Endüstriyel Otomasyon (MYO), Endüstriyel Elektronik (MYO),  Kontrol ve Otomasyon Teknolojisi, Elektrik (MYO), Mekatronik (MYO), Elektrik & Elektronik, Enerji, Üretim / Endüstriyel Ürünler, Otomotiv, Yapý, Kocaeli Üniversitesi, Ege Üniversitesi, Dumlupýnar Üniversitesi, Anadolu Üniversitesi, Dokuz Eylül Üniversitesi, AutoCAD,Baský Devre Tasarýmý,Devre Tasarýmý,Elektrik Kumanda Panolarý,Elektrik Motorlarý,9,
Endüstriyel Psikolog, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,
Endüstriyel Tasarým Mühendisi, 5.180, 3.750, 6.760,-, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 7,
Endüstriyel Tasarýmcý, 4.130, 2.020, 6.290,Endüstri Ürünleri Tasarýmý, Endüstriyel Tasarým, Makine Mühendisliði, Endüstriyel Tasarým Mühendisliði, Bilgisayar Destekli Tasarým (MYO), Üretim / Endüstriyel Ürünler, Mobilya & Aksesuar, Yapý, Reklam ve Tanýtým, Elektrik & Elektronik, Anadolu Üniversitesi, Orta Doðu Teknik Üniversitesi (ODTÜ), Ýstanbul Teknik Üniversitesi (ÝTÜ), Ýzmir Ekonomi Üniversitesi, Mimar Sinan Güzel Sanatlar Üniversitesi, 3D Max,3D Studio Max,3D Tasarým ve Modelleme Uygulamasý,Adobe After Effects,Adobe Illustrator,55,
Enerji Mühendisi, 4.430, 2.020, 7.440,Enerji Sistemleri Mühendisliði, Elektrik/Elektronik Mühendisliði, Makine Mühendisliði, Elektrik Mühendisliði, Endüstri Mühendisliði, Enerji, Yapý, Elektrik & Elektronik, Maden ve Metal Sanayi, Telekomünikasyon, Osmaniye Korkut Ata Üniversitesi, Süleyman Demirel Üniversitesi, Karabük Üniversitesi, Ýstanbul Teknik Üniversitesi (ÝTÜ), Fýrat Üniversitesi, AutoCAD,Bakým Planlama,C++,Elektrik Kumanda Panolarý,Elektrik Motorlarý,33,
Enerji Sistemleri Mühendisi, 4.190, 2.020, 6.880,Enerji Sistemleri Mühendisliði, Elektrik/Elektronik Mühendisliði, Elektrik (MYO), Doðalgaz - Isýtma ve Sýhhi Tesisat Teknolojisi (MYO), Makine Mühendisliði, Enerji, Elektrik & Elektronik, Yapý, Hizmet, Maden ve Metal Sanayi, Süleyman Demirel Üniversitesi, Karabük Üniversitesi, Fýrat Üniversitesi, Osmaniye Korkut Ata Üniversitesi, Yalova Üniversitesi , AutoCAD,C++,CATIA,HVAC,MATLAB,25,
Enerji Ticareti Uzmaný, 5.290, 2.500, 9.490,Endüstri Mühendisliði, Enerji Sistemleri Mühendisliði, Ýþletme, Ýstatistik, Elektrik/Elektronik Mühendisliði, Enerji, Elektrik & Elektronik, Yapý, Finans - Ekonomi, Üretim / Endüstriyel Ürünler, Ýhsan Doðramacý Bilkent Üniversitesi, Yýldýz Teknik Üniversitesi (YTÜ), Anadolu Üniversitesi, Bahçeþehir Üniversitesi, Ýstanbul Teknik Üniversitesi (ÝTÜ), Elektrik/Elektronik,Ýstatistiksel analiz,MATLAB,Pnömatik,SAP,13,
Enerji Uzman Yardýmcýsý, -, -, -, Elektrik/Elektronik Mühendisliði, Endüstri Mühendisliði, Ýþletme, Kamu Yönetimi, Uluslararasý Ýliþkiler, Enerji, Elektrik & Elektronik, Maden ve Metal Sanayi, Yapý, Hizmet, Orta Doðu Teknik Üniversitesi (ODTÜ), Anadolu Üniversitesi, Kahramanmaraþ Sütçü Ýmam Üniversitesi, Pamukkale Üniversitesi, Hacettepe Üniversitesi, Adobe Photoshop,AutoCAD,Güç elektroniði,ISIS PROTEUS / ARES,MATLAB,-,
Enerji Uzmaný, 3.820, 2.680, 5.030,Makine Mühendisliði, Elektrik/Elektronik Mühendisliði, Endüstri Mühendisliði, Ýþletme, Ýktisat, Enerji, Elektrik & Elektronik, Telekomünikasyon, Gýda, Yapý, Orta Doðu Teknik Üniversitesi (ODTÜ), Anadolu Üniversitesi, Yýldýz Teknik Üniversitesi (YTÜ), Hacettepe Üniversitesi, Gazi Üniversitesi, ArcGIS,AutoCAD,Elektrik Kumanda Panolarý,Elektrik Motorlarý,Elektrik/Elektronik,7,
Enerji Yöneticisi, 4.300, 2.960, 5.640,Elektrik/Elektronik Mühendisliði, Makine Mühendisliði, Elektrik Mühendisliði, Kimya Mühendisliði, Enerji Sistemleri Mühendisliði, Enerji, Tekstil, Otomotiv, Elektrik & Elektronik, Gýda, Orta Doðu Teknik Üniversitesi (ODTÜ), Yýldýz Teknik Üniversitesi (YTÜ), Kocaeli Üniversitesi, Ýstanbul Üniversitesi (ÝÜ), Gazi Üniversitesi, AutoCAD,Elektrik Kumanda Panolarý,Elektrik Motorlarý,Elektrik/Elektronik,Güç elektroniði,14,
Enfeksiyon Uzmaný, 11.040, 4.750, 21.330,-, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 3,
Epidemiyoloji Doktoru, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,
Ergoterapist, 5.830, 4.500, 9.300,-, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 3,
ERP Danýþmaný, 4.740, 2.030, 7.440,Endüstri Mühendisliði, Bilgisayar Mühendisliði, Ýþletme, MIS - Yönetim Biliþim Sistemleri, Bilgisayar Teknolojisi ve Programlama (MYO), Biliþim, Danýþmanlýk, Üretim / Endüstriyel Ürünler, Maden ve Metal Sanayi, Yapý, Sakarya Üniversitesi, Yýldýz Teknik Üniversitesi (YTÜ), Ýstanbul Teknik Üniversitesi (ÝTÜ), Ýstanbul Üniversitesi (ÝÜ), Kocaeli Üniversitesi, C#,CANIAS ERP,ERP,ERP - Kurumsal Kaynak Uygulamalarý,ERP Lojistik,65,
ERP Mühendisi, 5.110, 4.500, 5.960,Endüstri Mühendisliði, Bilgisayar Mühendisliði, Makine Mühendisliði, Matematik Mühendisliði, Endüstri Sistemleri Mühendisliði, Üretim / Endüstriyel Ürünler, Biliþim, Otomotiv, Yapý, Kimya, Sakarya Üniversitesi, Eskiþehir Osmangazi Üniversitesi, Gazi Üniversitesi, Marmara Üniversitesi, Yýldýz Teknik Üniversitesi (YTÜ), C#,C++,ERP,Java,MATLAB,6,
ERP Proje Yöneticisi, 6.480, 2.710, 10.240,Endüstri Mühendisliði, Bilgisayar Teknolojisi ve Programlama (MYO), Ýþletme, Bilgisayar Mühendisliði, Matematik Mühendisliði, Biliþim, Üretim / Endüstriyel Ürünler, Tekstil, Yapý, Elektrik & Elektronik, Yýldýz Teknik Üniversitesi (YTÜ), Anadolu Üniversitesi, Marmara Üniversitesi, Sakarya Üniversitesi, Ýstanbul Teknik Üniversitesi (ÝTÜ), C#,CANIAS ERP,ERP,ERP - Kurumsal Kaynak Uygulamalarý,ERP/MRP sistemleri,57,
ERP Sorumlusu, 4.090, 2.600, 5.800,Endüstri Mühendisliði, Bilgisayar Mühendisliði, Bilgisayar Teknolojisi ve Programlama (MYO), Ýktisat, Ýþletme, Üretim / Endüstriyel Ürünler, Elektrik & Elektronik, Biliþim, Tekstil, Yapý, Anadolu Üniversitesi, Sakarya Üniversitesi, Gazi Üniversitesi, Kocaeli Üniversitesi, Baþkent Üniversitesi, ASP.NET,AutoCAD,C,C#,CANIAS ERP,23,
ERP Uzmaný, 5.010, 3.340, 6.680,Endüstri Mühendisliði, Bilgisayar Teknolojisi ve Programlama (MYO), Bilgisayar Mühendisliði, Ýþletme, MIS - Yönetim Biliþim Sistemleri, Biliþim, Tekstil, Üretim / Endüstriyel Ürünler, Yapý, Perakende, Anadolu Üniversitesi, Sakarya Üniversitesi, Eskiþehir Osmangazi Üniversitesi, Ýstanbul Üniversitesi (ÝÜ), Ýstanbul Teknik Üniversitesi (ÝTÜ), ASP.NET,C#,CANIAS ERP,ERP,ERP - Kurumsal Kaynak Uygulamalarý,43,
E-sporcu, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,
Estetisyen, 2.660, 2.020, 3.350,Cilt Bakýmý ve Güzellik (MYO), Saç Bakýmý ve Güzellik Hizmetleri, Ýþletme, Týbbi ve Aromatik Bitkiler (MYO), Halkla Ýliþkiler, Saðlýk, Hizmet, Kimya, Turizm, Sigortacýlýk, Anadolu Üniversitesi, Ýstanbul Aydýn Üniversitesi, Adnan Menderes Üniversitesi, Ege Üniversitesi, Kocaeli Üniversitesi, Lazer uygulamalarý,Satýþ ve Pazarlama,Cilt Bakýmý,Estetisyen,Bilgisayar,145,
E-ticaret Danýþmaný, 3.550, 2.500, 4.650,Ýþletme, Bilgisayar Teknolojisi ve Programlama (MYO), Bilgisayar Programcýlýðý, Dýþ Ticaret (MYO), Uluslararasý Ýliþkiler, Ticaret, Tekstil, Biliþim, Telekomünikasyon, Maden ve Metal Sanayi, Anadolu Üniversitesi, Sakarya Üniversitesi, Marmara Üniversitesi, Beykent Üniversitesi, Kocaeli Üniversitesi, Adobe Dreamweaver,Adobe Flash,Adobe Illustrator,Adobe Photoshop,ASP.NET,11,
E-ticaret Direktörü, 4.600, 2.250, 7.780,Ýþletme, Bilgisayar Teknolojisi ve Programlama (MYO), Uluslararasý Ýliþkiler, Halkla Ýliþkiler ve Reklamcýlýk, Endüstri Mühendisliði, Ticaret, Tekstil, Biliþim, Perakende, Ev Eþyalarý, Anadolu Üniversitesi, Ýstanbul Üniversitesi (ÝÜ), Marmara Üniversitesi, Selçuk Üniversitesi, Uludað Üniversitesi, Adobe Flash,Adobe Illustrator,Adobe Photoshop,Apache HTTP Server,CSS,26,
E-Ticaret Kategori Yöneticisi, 4.670, 2.030, 7.310,Ýþletme, Ýktisat, Ýþletme (Ýngilizce), Bilgisayar Programcýlýðý, Uluslararasý Ýliþkiler, Ticaret, Biliþim, Perakende, Tekstil, Ev Eþyalarý, Anadolu Üniversitesi, Ýstanbul Üniversitesi (ÝÜ), Marmara Üniversitesi, Kocaeli Üniversitesi, Ýstanbul Kültür Üniversitesi, Adobe Photoshop,Dijital Pazarlama,E -ticaret,E-Ticaret,Google Adwords Kampanya Yönetimi,26,
E-ticaret Müdürü, 6.150, 2.790, 9.500,Ýþletme, Bilgisayar Teknolojisi ve Programlama (MYO), Bilgisayar Bilimleri, Ýktisat, Ýþletme (Ýngilizce), Ticaret, Tekstil, Biliþim, Perakende, Maden ve Metal Sanayi, Anadolu Üniversitesi, Ýstanbul Aydýn Üniversitesi, Trakya Üniversitesi, Ýstanbul Üniversitesi (ÝÜ), Marmara Üniversitesi, Adobe Photoshop,C#,CRM,Digital marketing,Dijital Pazarlama,50,
E-ticaret Raporlama Uzmaný, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,
E-ticaret Sorumlusu, 3.110, 2.200, 4.310,Ýþletme, Bilgisayar Teknolojisi ve Programlama (MYO), Bilgisayar Programcýlýðý, Ýktisat, Dýþ Ticaret (MYO), Ticaret, Tekstil, Biliþim, Ev Eþyalarý, Perakende, Anadolu Üniversitesi, Ýstanbul Üniversitesi (ÝÜ), Kocaeli Üniversitesi, Marmara Üniversitesi, Sakarya Üniversitesi, Adobe Dreamweaver,Adobe Illustrator,Adobe Photoshop,C#,CSS,58,
E-ticaret Uzmaný, 3.420, 2.160, 4.670,Ýþletme, Bilgisayar Teknolojisi ve Programlama (MYO), Ýktisat, Bilgisayar Programcýlýðý, Dýþ Ticaret (MYO), Ticaret, Tekstil, Biliþim, Perakende, Ev Eþyalarý, Anadolu Üniversitesi, Ýstanbul Üniversitesi (ÝÜ), Marmara Üniversitesi, Selçuk Üniversitesi, Kocaeli Üniversitesi, Adobe Illustrator,Adobe Photoshop,CSS,Dijital Pazarlama,E Ticaret,58,
E-ticaret Yöneticisi, 4.600, 2.680, 6.520,Ýþletme, Bilgisayar Teknolojisi ve Programlama (MYO), Bilgisayar Programcýlýðý, Bilgisayar Mühendisliði, Ýktisat, Ticaret, Tekstil, Biliþim, Perakende, Ev Eþyalarý, Anadolu Üniversitesi, Marmara Üniversitesi, Sakarya Üniversitesi, Ýstanbul Üniversitesi (ÝÜ), Çanakkale 18 Mart Üniversitesi, Adobe Dreamweaver,Adobe Illustrator,Adobe Photoshop,CSS,Dijital Pazarlama,34,
Etkinlik Koordinatörü, 5.090, 3.000, 7.690,Ýþletme, Turizm Ýþletmeciliði, Turizm ve Otel Ýþletmeciliði (MYO), Uluslararasý Ýliþkiler, Ýþletme (Ýngilizce), Eðlence - Kültür - Sanat, Turizm, Reklam ve Tanýtým, Eðitim, Hizmet, Ýstanbul Üniversitesi (ÝÜ), Anadolu Üniversitesi, Ýhsan Doðramacý Bilkent Üniversitesi, Ýstanbul Bilgi Üniversitesi, Marmara Üniversitesi, Adobe Photoshop,AutoCAD,Bütçe planlama ve raporlama,Finansal Raporlama,Pazarlama Stratejisi,14,
Etkinlik Uzmaný, 4.450, 2.570, 6.760,Ýþletme, Sosyoloji, Uluslararasý Ýliþkiler, Ekonomi, Ýþletme (Ýngilizce), Eðitim, Saðlýk, Hizmet, Reklam ve Tanýtým, Eðlence - Kültür - Sanat, Ýstanbul Üniversitesi (ÝÜ), Anadolu Üniversitesi, Yeditepe Üniversitesi, Marmara Üniversitesi, Boðaziçi Üniversitesi, Mac OS,Müþteri Hizmetleri Operasyon Yönetimi,Planlama Ve Organizasyon,Proje Yönetimi,Sosyal Medya Yönetimi,13,
Etkinlik ve Organizasyon Sorumlusu, 4.060, 2.710, 5.400,Ýþletme, Ýktisat, Halkla Ýliþkiler ve Tanýtým, Uluslararasý Ýliþkiler, Turizm ve Otel Ýþletmeciliði (MYO), Reklam ve Tanýtým, Eðlence - Kültür - Sanat, Turizm, Hizmet, Eðitim, Anadolu Üniversitesi, Ýstanbul Üniversitesi (ÝÜ), Kocaeli Üniversitesi, Marmara Üniversitesi, Ýstanbul Bilgi Üniversitesi, Adobe Illustrator,Adobe Photoshop,Planlama Ve Organizasyon,Sosyal Medya Yönetimi,-, 11,
Etkinlik Yöneticisi, 5.190, 2.950, 7.710,Ýþletme, Uluslararasý Ýliþkiler, Halkla Ýliþkiler ve Tanýtým, Turizm - Otelcilik, Sahne ve Gösteri Sanatlarý Yönetimi, Reklam ve Tanýtým, Eðlence - Kültür - Sanat, Turizm, Danýþmanlýk, Hizmet, Ýstanbul Üniversitesi (ÝÜ), Anadolu Üniversitesi, Marmara Üniversitesi, Ýstanbul Bilgi Üniversitesi, Kocaeli Üniversitesi, Adobe Illustrator,Adobe Photoshop,AutoCAD,Pazarlama Stratejisi,Proje Yönetimi,15,
Etüt Öðretmeni, -, -, -, Matematik, Türk Dili ve Edebiyatý, Fen Bilgisi Öðretmenliði, Tarih, Biyoloji, Eðitim, Danýþmanlýk, Tekstil, Hizmet, Turizm, Anadolu Üniversitesi, Gazi Üniversitesi, Hacettepe Üniversitesi, Ýstanbul Üniversitesi (ÝÜ), Ankara Üniversitesi, Adobe Photoshop,MATLAB,-, -, -, -,
Evde Bakým Hemþiresi, 4.650, 2.400, 7.470,Evde Hasta Bakýmý Bölümü, Yaþlý Hizmetleri Bakýmý (MYO), Hemþirelik ve Saðlýk Hizmetleri, Hemþirelik (MYO), Hemþirelik, Saðlýk, Hizmet, Sigortacýlýk, Eðitim, Ticaret, Adnan Menderes Üniversitesi, Anadolu Üniversitesi, Kastamonu Üniversitesi, Ýstanbul Üniversitesi (ÝÜ), Bartýn Üniversitesi, Hasta Bakýmý,Ýþçi Saðlýðý ve Ýþ Güvenliði,-, -, -, 5,
Expat, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,
Fabrika Müdürü, 9.410, 4.690, 14.140,Makine Mühendisliði, Endüstri Mühendisliði, Kimya Mühendisliði, Gýda Mühendisliði, Ýþletme, Gýda, Üretim / Endüstriyel Ürünler, Maden ve Metal Sanayi, Kimya, Tekstil, Ýstanbul Teknik Üniversitesi (ÝTÜ), Anadolu Üniversitesi, Yýldýz Teknik Üniversitesi (YTÜ), Orta Doðu Teknik Üniversitesi (ODTÜ), Ege Üniversitesi, Fiyat Analizleri,ISO 14000,ISO 14001,ISO 16949,ISO 9001:2000,265,
Farmakovijilans Sorumlusu, 3.980, 3.000, 5.360,Eczacýlýk, Veteriner, Endüstri Mühendisliði, Ziraat Mühendisliði, Biyoloji, Saðlýk, Üretim / Endüstriyel Ürünler, Hayvancýlýk, Tekstil, Danýþmanlýk, Ýstanbul Üniversitesi (ÝÜ), Marmara Üniversitesi, Ankara Üniversitesi, Anadolu Üniversitesi, Hacettepe Üniversitesi, Adobe Photoshop,-, -, -, -, 4,
Farsça Öðretmeni, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,
Fason Takip Elemaný, 4.340, 3.000, 5.730,Ýþletme, Tekstil (MYO), Moda Tasarýmý (MYO), Sosyoloji, Dýþ Ticaret ve Avrupa Birliði (MYO), Tekstil, Ticaret, Ev Eþyalarý, Basým - Yayýn, Üretim / Endüstriyel Ürünler, Anadolu Üniversitesi, Trakya Üniversitesi, Ýstanbul Üniversitesi (ÝÜ), Ýstanbul Aydýn Üniversitesi, Uludað Üniversitesi, Adobe Photoshop,Dikim,Kalite / AR-GE,SPSS,Src 2,33,
